id,description,hierarchy_levels,type
7ba2ce03-ac36-4cf5-9383-e665ed0d86c3,leisure activities,"[['K', 'K10', 'K101', 'K1015']]",altLabels
7ba2ce03-ac36-4cf5-9383-e665ed0d86c3,recreation activities,"[['K', 'K10', 'K101', 'K1015']]",altLabels
7ba2ce03-ac36-4cf5-9383-e665ed0d86c3,freetime activities,"[['K', 'K10', 'K101', 'K1015']]",altLabels
7bb85eab-18df-437c-adce-7b729abb315e,types of a literature genre,"[['K', 'K02', 'K023', 'K0232']]",altLabels
7bb85eab-18df-437c-adce-7b729abb315e,varieties of  literature genres,"[['K', 'K02', 'K023', 'K0232']]",altLabels
7bb85eab-18df-437c-adce-7b729abb315e,kinds of  literature genres,"[['K', 'K02', 'K023', 'K0232']]",altLabels
7bb85eab-18df-437c-adce-7b729abb315e,brands of  literature genres,"[['K', 'K02', 'K023', 'K0232']]",altLabels
7bb85eab-18df-437c-adce-7b729abb315e,type of literature genre,"[['K', 'K02', 'K023', 'K0232']]",altLabels
7bb85eab-18df-437c-adce-7b729abb315e,categories of  literature genres,"[['K', 'K02', 'K023', 'K0232']]",altLabels
7bb85eab-18df-437c-adce-7b729abb315e,types of literary genres,"[['K', 'K02', 'K023', 'K0232']]",altLabels
7bb85eab-18df-437c-adce-7b729abb315e,types of literature genres,"[['K', 'K02', 'K023', 'K0232']]",altLabels
7bb85eab-18df-437c-adce-7b729abb315e,literature genres  varieties,"[['K', 'K02', 'K023', 'K0232']]",altLabels
7bf0c60a-9303-414b-a43c-21c28a98d4ff,geographical routes,"[['K', 'K05', 'K053', 'K0532']]",altLabels
7bf0c60a-9303-414b-a43c-21c28a98d4ff,geographical routeing,"[['K', 'K05', 'K053', 'K0532']]",altLabels
7bf0c60a-9303-414b-a43c-21c28a98d4ff,geographical avenues,"[['K', 'K05', 'K053', 'K0532']]",altLabels
7bf0c60a-9303-414b-a43c-21c28a98d4ff,a geographical route,"[['K', 'K05', 'K053', 'K0532']]",altLabels
7bf0c60a-9303-414b-a43c-21c28a98d4ff,geographical route,"[['K', 'K05', 'K053', 'K0532']]",altLabels
